"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-01","0.00",",,H,0700","0.0",",,H","0.0",",,H","38",",,H","26",",,H","26",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-02","0.00",",,H,0700","0.0",",,H","0.0",",,H","38",",,H","26",",,H","29",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-03","0.00",",,H,0700","0.0",",,H","0.0",",,H","35",",,H","28",",,H","29",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-04","0.00",",,H,0700","0.0",",,H","0.0",",,H","39",",,H","23",",,H","23",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-05","0.00",",,H,0700","0.0",",,H","0.0",",,H","43",",,H","22",",,H","36",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-06","0.00",",,H,0700","0.0",",,H","0.0",",,H","57",",,H","34",",,H","49",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-07","0.00",",,H,0700","0.0",",,H","0.0",",,H","64",",,H","32",",,H","32",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-08","0.00",",,H,0700","0.0",",,H","0.0",",,H","59",",,H","31",",,H","49",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-09","0.28",",,H,0700","0.0",",,H","0.0",",,H","68",",,H","49",",,H","63",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-10","0.01",",,H,0700","0.0",",,H","0.0",",,H","64",",,H","40",",,H","42",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-11","0.00",",,H,0700","0.0",",,H","0.0",",,H","45",",,H","30",",,H","30",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-12","0.00",",,H,0700","0.0",",,H","0.0",",,H","33",",,H","24",",,H","25",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-14","0.02",",,H,0700","0.0",",,H","0.0",",,H","57",",,H","38",",,H","44",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-15","0.00",",,H,0700","0.0",",,H","0.0",",,H","44",",,H","18",",,H","18",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-16","0.01",",,H,0700","0.1",",,H","0.0",",,H","32",",,H","17",",,H","32",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-17","0.03",",,H,0700","0.0",",,H","0.0",",,H","39",",,H","23",",,H","23",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-18","0.00",",,H,0700","0.0",",,H","0.0",",,H","27",",,H","13",",,H","13",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-19","0.00",",,H,0700","0.0",",,H","0.0",",,H","30",",,H","12",",,H","21",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-20","0.00",",,H,0700","0.0",",,H","0.0",",,H","22",",,H","8",",,H","11",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-21","0.00",",,H,0700","0.0",",,H","0.0",",,H","33",",,H","11",",,H","33",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-22","0.00",",,H,0700","0.0",",,H","0.0",",,H","50",",,H","25",",,H","25",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-23","0.00",",,H,0700","0.0",",,H","0.0",",,H","37",",,H","19",",,H","19",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-24","0.00",",,H,0700","0.0",",,H","0.0",",,H","19",",,H","4",",,H","6",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-25","1.00",",,H,0700","10.0",",,H","10.0",",,H","11",",,H","6",",,H","10",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-26","0.31",",,H,0700","3.1",",,H","10.0",",,H","12",",,H","-1",",,H","-1",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-27","0.00",",,H,0700","0.0",",,H","9.0",",,H","10",",,H","-3",",,H","9",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-28","0.00",",,H,0700","0.0",",,H","9.0",",,H","24",",,H","1",",,H","3",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-29","0.00",",,H,0700","0.0",",,H","8.0",",,H","23",",,H","3",",,H","19",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-30","0.00","T,,H,0700","0.0","T,,H","8.0",",,H","26",",,H","6",",,H","6",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-01-31","0.00",",,H,0700","0.0",",,H","8.0",",,H","19",",,H","4",",,H","6",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-02-01","0.00",",,H,0700","0.0",",,H","7.0",",,H","18",",,H","5",",,H","8",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-02-02","0.00",",,H,0700","0.0",",,H","7.0",",,H","26",",,H","4",",,H","26",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-02-03","0.00",",,H,0700","0.0",",,H","6.0",",,H","36",",,H","26",",,H","29",",,H,0700"
"USC00112931","1 ENE FAIRFIELD, IL US","38.39055","-88.35017","140.8","2026-02-04","0.00",",,H,0700","0.0",",,H","6.0",",,H",,,,,"21",",,H,0700"
